date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:45	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2011:50:44%20GMT	https://uptecra.com/robots.txt		(from )
14:50:46	89880/89880	---M--	200	added ('OK')	text/html	etag:%2266b36643-15f18%22	https://uptecra.com/	E:/uptecra_web/uptecra/uptecra.com/index.html	(from )
14:50:46	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2011:50:46%20GMT	https://uptecra.com/gmpg.org/xfn/11.html	E:/uptecra_web/uptecra/uptecra.com/gmpg.org/xfn/11.html	(from https://uptecra.com/)
14:50:47	89655/89655	---M--	200	added ('OK')	text/html	etag:%2266b36643-15e37%22	https://uptecra.com/mainpage-en.html	E:/uptecra_web/uptecra/uptecra.com/mainpage-en.html	(from https://uptecra.com/)
14:50:47	89880/89880	---M--	200	added ('OK')	text/html	etag:%2266b36643-15f18%22	https://uptecra.com/index.html	E:/uptecra_web/uptecra/uptecra.com/index-2.html	(from https://uptecra.com/)
14:50:47	748/748	---M--	200	added ('OK')	text/html	etag:%226697cf27-2ec%22	https://uptecra.com/maps/index.html	E:/uptecra_web/uptecra/uptecra.com/maps/index.html	(from https://uptecra.com/)
14:50:47	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2011:50:47%20GMT	https://uptecra.com/stats.wp.com/index.html	E:/uptecra_web/uptecra/uptecra.com/stats.wp.com/index.html	(from https://uptecra.com/)
14:50:48	1611/1611	---M--	200	added ('OK')	text/html	etag:%226697cf27-64b%22	https://uptecra.com/googlefonts/index.html	E:/uptecra_web/uptecra/uptecra.com/googlefonts/index.html	(from https://uptecra.com/)
14:50:48	11256/11256	---M--	200	added ('OK')	text/css	etag:%226697cf27-2bf8%22	https://uptecra.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css?ver=4.2.17	E:/uptecra_web/uptecra/uptecra.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f611f61.css	(from https://uptecra.com/)
14:50:48	113381/113381	---M--	200	added ('OK')	text/css	etag:%226697cf27-1bae5%22	https://uptecra.com/wp-includes/css/dist/block-library/style.minadc6.css?ver=6.5.5	E:/uptecra_web/uptecra/uptecra.com/wp-includes/css/dist/block-library/style.minadc6adc6.css	(from https://uptecra.com/)
14:50:48	4186/4186	---M--	200	added ('OK')	text/css	etag:%226697cf27-105a%22	https://uptecra.com/wp-includes/js/mediaelement/wp-mediaelement.minadc6.css?ver=6.5.5	E:/uptecra_web/uptecra/uptecra.com/wp-includes/js/mediaelement/wp-mediaelement.minadc6adc6.css	(from https://uptecra.com/)
